Offer,Total Cost of Loan,Down Payment,Principle,Rate,Down Payment: Percent of Total Offer,Monthly Payment,25% Total Cost of Loan,30% Total Cost of Loan,25% of Total Monthly Payment,30% of Total Monthly Payment,25% of Down Payment,30% of Down Payment,Rent 1,Rent 2,Rent 3,25% Payment - 25% Rent 1,30% Payment - 30% Rent 1,25% Payment - 25% Rent 2,30% Payment - 30% Rent 2,25% Payment - 25% Rent 3,30% Payment - 30 % Rent 3
825000,687603.627202105,400000,425000,0.07,0.48484848484848486,3820.0201511228056,171900.90680052625,206281.0881606315,955.0050377807014,1146.0060453368417,100000.0,120000.0,5000,6000,7000,642.5050377807014,696.0060453368417,580.0050377807014,606.0060453368417,517.5050377807014,516.0060453368417
800000,687603.627202105,375000,425000,0.07,0.46875,3820.0201511228056,171900.90680052625,206281.0881606315,955.0050377807014,1146.0060453368417,93750.0,112500.0,5000,6000,7000,642.5050377807014,696.0060453368417,580.0050377807014,606.0060453368417,517.5050377807014,516.0060453368417
775000,687603.627202105,350000,425000,0.07,0.45161290322580644,3820.0201511228056,171900.90680052625,206281.0881606315,955.0050377807014,1146.0060453368417,87500.0,105000.0,5000,6000,7000,642.5050377807014,696.0060453368417,580.0050377807014,606.0060453368417,517.5050377807014,516.0060453368417
750000,687603.627202105,325000,425000,0.07,0.43333333333333335,3820.0201511228056,171900.90680052625,206281.0881606315,955.0050377807014,1146.0060453368417,81250.0,97500.0,5000,6000,7000,642.5050377807014,696.0060453368417,580.0050377807014,606.0060453368417,517.5050377807014,516.0060453368417
725000,687603.627202105,300000,425000,0.07,0.41379310344827586,3820.0201511228056,171900.90680052625,206281.0881606315,955.0050377807014,1146.0060453368417,75000.0,90000.0,5000,6000,7000,642.5050377807014,696.0060453368417,580.0050377807014,606.0060453368417,517.5050377807014,516.0060453368417
825000,709164.4554020892,400000,425000,0.075,0.48484848484848486,3939.8025300116064,177291.1138505223,212749.33662062674,984.9506325029016,1181.9407590034818,100000.0,120000.0,5000,6000,7000,672.4506325029016,731.940759003482,609.9506325029016,641.940759003482,547.4506325029016,551.940759003482
800000,709164.4554020892,375000,425000,0.075,0.46875,3939.8025300116064,177291.1138505223,212749.33662062674,984.9506325029016,1181.9407590034818,93750.0,112500.0,5000,6000,7000,672.4506325029016,731.940759003482,609.9506325029016,641.940759003482,547.4506325029016,551.940759003482
775000,709164.4554020892,350000,425000,0.075,0.45161290322580644,3939.8025300116064,177291.1138505223,212749.33662062674,984.9506325029016,1181.9407590034818,87500.0,105000.0,5000,6000,7000,672.4506325029016,731.940759003482,609.9506325029016,641.940759003482,547.4506325029016,551.940759003482
750000,709164.4554020892,325000,425000,0.075,0.43333333333333335,3939.8025300116064,177291.1138505223,212749.33662062674,984.9506325029016,1181.9407590034818,81250.0,97500.0,5000,6000,7000,672.4506325029016,731.940759003482,609.9506325029016,641.940759003482,547.4506325029016,551.940759003482
725000,709164.4554020892,300000,425000,0.075,0.41379310344827586,3939.8025300116064,177291.1138505223,212749.33662062674,984.9506325029016,1181.9407590034818,75000.0,90000.0,5000,6000,7000,672.4506325029016,731.940759003482,609.9506325029016,641.940759003482,547.4506325029016,551.940759003482
850000,683524.0307192545,400000,450000,0.06,0.47058823529411764,3797.3557262180807,170881.00767981363,205057.20921577635,949.3389315545202,1139.2067178654243,100000.0,120000.0,5000,6000,7000,636.8389315545202,689.2067178654241,574.3389315545202,599.2067178654241,511.8389315545202,509.2067178654242
825000,683524.0307192545,375000,450000,0.06,0.45454545454545453,3797.3557262180807,170881.00767981363,205057.20921577635,949.3389315545202,1139.2067178654243,93750.0,112500.0,5000,6000,7000,636.8389315545202,689.2067178654241,574.3389315545202,599.2067178654241,511.8389315545202,509.2067178654242
800000,683524.0307192545,350000,450000,0.06,0.4375,3797.3557262180807,170881.00767981363,205057.20921577635,949.3389315545202,1139.2067178654243,87500.0,105000.0,5000,6000,7000,636.8389315545202,689.2067178654241,574.3389315545202,599.2067178654241,511.8389315545202,509.2067178654242
775000,683524.0307192545,325000,450000,0.06,0.41935483870967744,3797.3557262180807,170881.00767981363,205057.20921577635,949.3389315545202,1139.2067178654243,81250.0,97500.0,5000,6000,7000,636.8389315545202,689.2067178654241,574.3389315545202,599.2067178654241,511.8389315545202,509.2067178654242
750000,683524.0307192545,300000,450000,0.06,0.4,3797.3557262180807,170881.00767981363,205057.20921577635,949.3389315545202,1139.2067178654243,75000.0,90000.0,5000,6000,7000,636.8389315545202,689.2067178654241,574.3389315545202,599.2067178654241,511.8389315545202,509.2067178654242
